time,mag,cost,place
2024-08-02T22:23:01.342Z,6.8,6800000,"18 km ENE of Barcelona, Philippines"
2024-07-29T20:00:52.590Z,4.89,4890000,"22 km ENE of Barstow, CA"
2024-07-29T05:29:05.760Z,4.47,4470000,"24 km S of Brian Head, Utah"
2024-07-26T14:28:29.143Z,5.1,5100000,"17 km NNE of Hermleigh, Texas"
2024-07-23T03:38:42.943Z,4.9,4900000,"17 km NNE of Hermleigh, Texas"
2024-07-22T19:19:34.604Z,5.7,5700000,"5 km SSE of Puerto Armuelles, Panama"
2024-07-21T02:53:48.692Z,6.2,6200000,"7 km SW of San Pedro Pinula, Guatemala"
2024-07-19T01:50:47.675Z,7.4,7400000,"45 km ESE of San Pedro de Atacama, Chile"
2024-07-11T15:08:47.501Z,6.4,6400000,"209 km WSW of Tofino, Canada"
2024-07-11T02:13:17.720Z,7.1,7100000,"105 km WSW of Sangay, Philippines"
2024-07-10T04:55:41.773Z,6.6,6600000,south of Africa
